name,type,origin,availability,url,image_url
tomato,vegetable,France,"5,6,7,8,9,10",https://fr.wikipedia.org/wiki/Tomate,tomato.jpg
potatoe,vegetable,France,"1,2,3,4,5,6,7,8,9,10,11,12",https://fr.wikipedia.org/wiki/Pomme_de_terre,potatoe.jpg
strawberry,fruit,France,"5,6,7,8",https://fr.wikipedia.org/wiki/Fraise,strawberry.jpg
corn_salad,vegetable,France,"1,2,11,12",https://fr.wikipedia.org/wiki/Valerianella_locusta,corn_salad.jpg
garlic,vegetable,France,"1,2,3,4,5,6,7,8,9,10,11,12",https://fr.wikipedia.org/wiki/Ail_cultivé,garlic.jpg
carrots,vegetable,France,"1,2,3,4,5,6,7,8,9,10,11,12",https://fr.wikipedia.org/wiki/Carotte,carrots.jpg
brussels-sprout,vegetable,France,"1,2,3,9,10,11,12",https://fr.wikipedia.org/wiki/Chou_de_Bruxelles,brussels-sprout.jpg
chinese_artichoke,vegetable,France,"1,2,3,11,12",https://fr.wikipedia.org/wiki/Crosne_du_Japon,chinese_artichoke.jpg
endive,vegetable,France,"1,2,3,4,10,11,12",https://fr.wikipedia.org/wiki/Endive,endive.jpg
onion,vegetable,France,"1,2,3,4,5,6,7,8,9,10,11,12",https://fr.wikipedia.org/wiki/Oignon,onion.jpg
leek,vegetable,France,"1,2,3,4,9,10,11,12",https://fr.wikipedia.org/wiki/Poireau,leek.jpg
salsify,vegetable,France,"1,2,3,10,11,12",https://fr.wikipedia.org/wiki/Salsifis,salsify.jpg
spinach,vegetable,France,"1,2,3,4,5,6,7,8,9,10,11,12",https://fr.wikipedia.org/wiki/Épinard,spinach.jpg
beet,vegetable,France,"1,2,3,4,5,6,7,8,9,10,11,12",https://fr.wikipedia.org/wiki/Betterave,beet.jpg
cabbage,vegetable,France,"1,3,9,10,11,12",https://fr.wikipedia.org/wiki/Chou_(plante),cabbage.jpg
squash,vegetable,France,"1,8,9,10,11,12",https://fr.wikipedia.org/wiki/Courge,squash.jpg
celery,vegetable,France,"1,2,3,4,5,6,7,8,9,10,11,12",https://fr.wikipedia.org/wiki/Céleri,celery.jpg
chicory,vegetable,France,"1,2,3,4,8,9,10,11,12",https://fr.wikipedia.org/wiki/Chicorée_frisée,chicory.jpg
turnip,vegetable,France,"1,2,3,4,5,6,10,11,12",https://fr.wikipedia.org/wiki/Navet,turnip.jpg
parsnip,vegetable,France,"1,2,3,9,10,11,12",https://fr.wikipedia.org/wiki/Panais,parsnip.jpg
jerusalem_artichoke,vegetable,France,"1,2,3,10,11,12",https://fr.wikipedia.org/wiki/Topinambour,jerusalem_artichoke.jpg
lemon,fruit,France,"1,2,3,4,6,10,11,12",https://fr.wikipedia.org/wiki/Citron,lemon.jpg
kiwi,fruit,France,"1,2,3,11,12",https://fr.wikipedia.org/wiki/Kiwi,kiwi.jpg
orange,fruit,France,"1,2,3,11,12",https://fr.wikipedia.org/wiki/Orange_(fruit),orange.jpg
pear,fruit,France,"1,2,3,6,7,8,9,10,11,12",https://fr.wikipedia.org/wiki/Poire,pear.jpg
clementine,fruit,France,"1,2,11,12",https://fr.wikipedia.org/wiki/Clémentine,clementine.jpg
mandarin,fruit,France,"1,2,11,12",https://fr.wikipedia.org/wiki/Mandarine,mandarin.jpg
grapefruit,fruit,France,"1,2,3,4,5,6",https://fr.wikipedia.org/wiki/Pamplemousse_et_pomélo,grapefruit.jpg
apple,fruit,France,"1,2,3,4,6,8,9,10,11,12",https://fr.wikipedia.org/wiki/Pomme,apple.jpg
radish,vegetable,France,"2,3,4,5,6,7,8,9,10,11,12",https://fr.wikipedia.org/wiki/Radis,radish.jpg
asparagus,vegetable,France,"3,4,5,6,7",https://fr.wikipedia.org/wiki/Asperge,asparagus.jpg
swiss_chard,vegetable,France,"3,4,5,6,7,8,9,10",https://fr.wikipedia.org/wiki/Bette_(plante),swiss_chard.jpg
cauliflower,vegetable,France,"3,4,5,9,10,11",https://fr.wikipedia.org/wiki/Chou-fleur,cauliflower.jpg
pea,vegetable,France,"4,5,6,7",https://fr.wikipedia.org/wiki/Petit_pois,pea.jpg
artichoke,vegetable,France,"4,5,6,7,8,9",https://fr.wikipedia.org/wiki/Artichaut,artichoke.jpg
cucumber,vegetable,France,"4,5,6,7,8,9,10",https://fr.wikipedia.org/wiki/Concombre,cucumber.jpg
lettuce,vegetable,France,"4,5,6,7,8,9,10",https://fr.wikipedia.org/wiki/Laitue,lettuce.jpg
new_potatoe,vegetable,France,"5,6,7,8",https://fr.wikipedia.org/wiki/Pomme_de_terre_de_primeur,new_potatoe.jpg
zuchini,vegetable,France,"5,6,7,8,9,10",https://fr.wikipedia.org/wiki/Courgette,zuchini.jpg
eggplant,vegetable,France,"5,6,7,8,9,10",https://fr.wikipedia.org/wiki/Aubergine,eggplant.jpg
cherry,fruit,France,"5,6,7",https://fr.wikipedia.org/wiki/Cerise,cherry.jpg
rhubarb,fruit,France,"5,6,7",https://fr.wikipedia.org/wiki/Rhubarbe,rhubarb.jpg
fennel,vegetable,France,"6,7,8,9,10,11",https://fr.wikipedia.org/wiki/Fenouil,fennel.jpg
pepper,vegetable,France,"6,7,8,9",https://fr.wikipedia.org/wiki/Poivron,pepper.jpg
broccoli,vegetable,France,"6,7,8,9,10,11",https://fr.wikipedia.org/wiki/Brocoli,broccoli.jpg
green_bean,vegetable,France,"6,7,8,9,10",https://fr.wikipedia.org/wiki/Haricot_vert,green_bean.jpg
apricot,fruit,France,"6,7,8",https://fr.wikipedia.org/wiki/Abricot,apricot.jpg
currant,fruit,France,"6,7,8",https://fr.wikipedia.org/wiki/Groseille,currant.jpg
peach,fruit,France,"6,7,8",https://fr.wikipedia.org/wiki/Pêche_(fruit),peach.jpg
cassis,fruit,France,"6,7,8",https://fr.wikipedia.org/wiki/Cassis_(fruit),cassis.jpg
raspberry,fruit,France,"6,7,8,10",https://fr.wikipedia.org/wiki/Framboise,raspberry.jpg
melon,fruit,France,"6,7,8,9",https://fr.wikipedia.org/wiki/Melon_(plante),melon.jpg
water-melon,fruit,France,"6,7,8,9",https://fr.wikipedia.org/wiki/Pastèque,water-melon.jpg
plum,fruit,France,"6,7,8,9",https://fr.wikipedia.org/wiki/Prune,plum.jpg
rape,cereal,France,"6,7",https://fr.wikipedia.org/wiki/Colza,rape.jpg
peas,cereal,France,"6,7,8",https://fr.wikipedia.org/wiki/Pois_cultivé,peas.jpg
oat,cereal,France,"6,7,8,12",https://fr.wikipedia.org/wiki/Avoine_cultivée,oat.jpg
barley,cereal,France,"6,7,8,12",https://fr.wikipedia.org/wiki/Hordeum,barley.jpg
rye,cereal,France,"6,7,8,12",https://fr.wikipedia.org/wiki/Seigle,rye.jpg
bean,fruit,France,"6,7,12",https://fr.wikipedia.org/wiki/Fève,bean.jpg
nectarine,fruit,France,"7,8",https://fr.wikipedia.org/wiki/Nectarine,nectarine.jpg
blueberry,fruit,France,"7,8,9,10",https://fr.wikipedia.org/wiki/Myrtille,blueberry.jpg
fig,fruit,France,"7,8,9,10",https://fr.wikipedia.org/wiki/Figue,fig.jpg
wheat_hard,cereal,France,"7,8,12",https://fr.wikipedia.org/wiki/Blé_dur,wheat.jpg
wheat_soft,cereal,France,"7,8,12",https://fr.wikipedia.org/wiki/Blé_tendre,wheat.jpg
triticale,cereal,France,"7,8",https://fr.wikipedia.org/wiki/Triticale,triticale.jpg
sunflower,cereal,France,9,https://fr.wikipedia.org/wiki/Tournesol,sunflower.jpg
mirabelle,fruit,France,"9,10",https://fr.wikipedia.org/wiki/Mirabelle,mirabelle.jpg
blackberry,fruit,France,"9,10",https://fr.wikipedia.org/wiki/Mûre_(fruit_du_mûrier),blackberry.jpg
hazelnut,fruit,France,"8,9,10",https://fr.wikipedia.org/wiki/Noisette,hazelnut.jpg
prune,fruit,France,"9,10",https://fr.wikipedia.org/wiki/Pruneau,prune.jpg
grapes,fruit,France,"8,9,10",https://fr.wikipedia.org/wiki/Raisin,grapes.jpg
pumpkin,vegetable,France,"9,10,11,12",https://fr.wikipedia.org/wiki/Potiron,pumpkin.jpg
quince,fruit,France,"9,10,11",https://fr.wikipedia.org/wiki/Coing,quince.jpg
nuts,fruit,France,"9,10",https://fr.wikipedia.org/wiki/Noix,nuts.jpg
corn,vegetable,France,"7,8,9,10,11",https://fr.wikipedia.org/wiki/Maïs,corn.jpg
rutabaga,vegetable,France,"10,11,12",https://fr.wikipedia.org/wiki/Rutabaga,rutabaga.jpg
chestnut,fruit,France,"10,11,12",https://fr.wikipedia.org/wiki/Châtaigne,chestnut.jpg
rice,cereal,France,10,https://fr.wikipedia.org/wiki/Riz,rice.jpg
soy,cereal,France,10,https://fr.wikipedia.org/wiki/Soja,soy.jpg
sorghum,cereal,France,"10,11",https://fr.wikipedia.org/wiki/Sorgo_commun,sorghum.jpg
cardoon,vegetable,France,11,https://fr.wikipedia.org/wiki/Cynara_cardunculus,cardoon.jpg
passion-fruit,fruit,foreign,"1,2,3,4,5,6,7,8,9,10,11,12",https://fr.wikipedia.org/wiki/Grenadille,passion-fruit.jpg
carom,fruit,foreign,"1,2,3,4,5,6,7,8,9,10,11,12",https://en.wikipedia.org/wiki/Carambola,carom.jpg
pomegranate,fruit,France,"1,2,3,10,11,12",https://fr.wikipedia.org/wiki/Grenade_(fruit),pomegranate.jpg
morel,mushroom,France,"3,4,5,6",https://fr.wikipedia.org/wiki/Morchella,morel.jpg
cep,mushroom,France,"5,6,7,8,9,10,11",https://fr.wikipedia.org/wiki/Cèpe,cep.jpg
aromatic_herbs,vegetable,France,"1,2,3,11,12",https://fr.wikipedia.org/wiki/Plante_aromatique,aromatic_herbs.jpg
cress,vegetable,France,"1,2,3,4,5,6,7,8,9,10,11,12",https://fr.wikipedia.org/wiki/Cresson_(plante),cress.jpg
papaya,fruit,foreign,"10,11,12",https://fr.wikipedia.org/wiki/Papaye,papaya.jpg
mango,fruit,foreign,"1,2,3,4,5,6,7,8,9,10,11,12",https://fr.wikipedia.org/wiki/Mangue,mango.jpg
sorrel,vegetable,France,"4,5,6,7,8,9,10,11",https://fr.wikipedia.org/wiki/Oseille,sorrel.jpg
dates,fruit,France,"10,11,12",https://fr.wikipedia.org/wiki/Datte,dates.jpg
khaki,fruit,France,"1,10,11,12",https://fr.wikipedia.org/wiki/Kaki,khaki.jpg
truffle,mushroom,France,"1,2,3,9,10,11,12",https://fr.wikipedia.org/wiki/Truffe_(champignon),truffle.jpg
almond,fruit,France,"9,10",https://fr.wikipedia.org/wiki/Amande,almond.jpg
pineapple,fruit,France,"1,2,3,9,10,11,12",https://fr.wikipedia.org/wiki/Ananas,pineapple.jpg
paris_mushroom,mushroom,France,"1,2,3,4,5,6,9,10,11,12",https://fr.wikipedia.org/wiki/Agaricus_bisporus,paris_mushroom.jpg
banana,fruit,France,"1,2,3,4,5,6,7,8,9,10,11,12",https://fr.wikipedia.org/wiki/Banane,banana.jpg
physalis,fruit,France,"1,2,11,12",https://fr.wikipedia.org/wiki/Physalis,physalis.jpg
shallot,vegetable,France,"10,11,12",https://fr.wikipedia.org/wiki/Échalote,shallot.jpg
chili-pepper,vegetable,France,"6,7,8,9",https://fr.wikipedia.org/wiki/Piment,chili-pepper.jpg